review,rating,date,bank,source,cleaned_review,char_count,word_count,avg_word_length,has_question,has_exclamation,is_all_caps,sentiment_polarity
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",4,2025-06-05,Commercial Bank of Ethiopia,Google Play,support transfer like country south,35.0,5.0,6.2,0.0,0.0,0.0,0.0
what is this app problem???,1,2025-06-05,Commercial Bank of Ethiopia,Google Play,problem,7.0,1.0,7.0,0.0,0.0,0.0,0.0
the app is proactive and a good connections.,5,2025-06-05,Commercial Bank of Ethiopia,Google Play,good connection,15.0,2.0,7.0,0.0,0.0,0.0,0.0
I cannot send to cbebirr app. through this app.,3,2025-06-05,Commercial Bank of Ethiopia,Google Play,send,4.0,1.0,4.0,0.0,0.0,0.0,0.0
good,4,2025-06-05,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
not functional,1,2025-06-04,Commercial Bank of Ethiopia,Google Play,functional,10.0,1.0,10.0,0.0,0.0,0.0,0.0
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia,Google Play,reach physically thats one security layer check fraud attempt via source store play store implicitly physical presence every install rare,137.0,20.0,5.9,0.0,0.0,0.0,0.0
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,4,2025-06-04,Commercial Bank of Ethiopia,Google Play,space,5.0,1.0,5.0,0.0,0.0,0.0,0.0
best,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
bezabih,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,best mobile banking ever,24.0,4.0,5.25,0.0,0.0,0.0,0.0
good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play,good issue like doesnt give right amount bank issue transferring,64.0,10.0,5.5,0.0,0.0,0.0,0.0
Good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
👌👍,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
very niec,5,2025-06-04,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best app of finance,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,best finance,12.0,2.0,5.5,0.0,0.0,0.0,0.0
yetemeta,1,2025-06-03,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Engida Kebede Fetera,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good,5,2025-06-03,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
it is not safety,1,2025-06-02,Commercial Bank of Ethiopia,Google Play,safety,6.0,1.0,6.0,0.0,0.0,0.0,0.0
NICE bank,5,2025-06-02,Commercial Bank of Ethiopia,Google Play,nice bank,9.0,2.0,4.0,0.0,0.0,0.0,0.0
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia,Google Play,like childish make better worst ever seen,41.0,7.0,5.0,0.0,0.0,0.0,0.0
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia,Google Play,problem solver application go ahead love much,45.0,7.0,5.57,0.0,0.0,0.0,0.0
It's good but try to make it facilitate for your client,4,2025-06-01,Commercial Bank of Ethiopia,Google Play,good try make facilitate client,31.0,5.0,5.4,0.0,0.0,0.0,0.0
best app,5,2025-06-01,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia,Google Play,awesome bank,12.0,2.0,5.5,0.0,0.0,0.0,0.0
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,good way comment need make likely good someone like coz need make evidence would good make access recent transaction history day coz dont go bank person see old transaction add colander category user easily access old transaction colander,238.0,38.0,5.29,0.0,0.0,0.0,0.0
Masha alla,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,masha,5.0,1.0,5.0,0.0,0.0,0.0,0.0
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia,Google Play,recently big problem sending even wallet could anybody responsible fix day money returned take account doesnt send update corrected sent back money still afraid send,165.0,25.0,5.64,0.0,0.0,0.0,0.0
better service,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,better service,14.0,2.0,6.5,0.0,0.0,0.0,0.0
"it,s good app and time manager 👍",5,2025-05-30,Commercial Bank of Ethiopia,Google Play,good time manager,17.0,3.0,5.0,0.0,0.0,0.0,0.0
malkaamuu Jiidhaa Namoo,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lower system everything,3,2025-05-30,Commercial Bank of Ethiopia,Google Play,lower system everything,23.0,3.0,7.0,0.0,0.0,0.0,0.0
Nice!,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,nice,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Keep it up My CBE,5,2025-05-28,Commercial Bank of Ethiopia,Google Play,keep,4.0,1.0,4.0,0.0,0.0,0.0,0.0
yes good,5,2025-05-28,Commercial Bank of Ethiopia,Google Play,yes good,8.0,2.0,3.5,0.0,0.0,0.0,0.0
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia,Google Play,last two year problem stopped working month ago tried transfer fund give error cant transaction inactive account,112.0,17.0,5.65,0.0,0.0,0.0,0.0
i like everything of this app,5,2025-05-27,Commercial Bank of Ethiopia,Google Play,like everything,15.0,2.0,7.0,0.0,0.0,0.0,0.0
good,5,2025-05-27,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
🤬🤬🤬🤬 network 🛜,1,2025-05-26,Commercial Bank of Ethiopia,Google Play,network wireless,16.0,2.0,7.5,0.0,0.0,0.0,0.0
Best,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,best financial application dimple use would like say thank much developer application really appreciate,103.0,14.0,6.43,0.0,0.0,0.0,0.0
nice,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,nice,4.0,1.0,4.0,0.0,0.0,0.0,0.0
good job,5,2025-05-26,Commercial Bank of Ethiopia,Google Play,good job,8.0,2.0,3.5,0.0,0.0,0.0,0.0
Good,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
it's awesome!!,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,awesome,7.0,1.0,7.0,0.0,0.0,0.0,0.0
best,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
