review,rating,date,bank,source,cleaned_review,char_count,word_count,avg_word_length,has_question,has_exclamation,is_all_caps,sentiment_polarity
Excellent app ever but it needs improvement on speed and transaction lists,1,2025-02-03,Dashen Bank,Google Play,excellent ever need improvement speed transaction list,54.0,7.0,6.86,0.0,0.0,0.0,0.0
እጅግ በጣም ጥሩ አፕ,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
i can't take screenshot,1,2025-04-18,Commercial Bank of Ethiopia,Google Play,cant take,9.0,2.0,4.0,0.0,0.0,0.0,0.0
"Feature-rich? Absolutely. But the speed? Painfully slow. Seriously, is it communicating with a server on Mars or something?",5,2025-04-16,Dashen Bank,Google Play,absolutely speed painfully slow seriously communicating server mar something,76.0,9.0,7.56,0.0,0.0,0.0,0.0
good,5,2025-04-09,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
Best App,5,2025-05-02,Dashen Bank,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
The Best app😍😍😍,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21,Bank of Abyssinia,Google Play,went bank many time make transaction see balance nothing else point mobile banking cant make transaction please work,116.0,18.0,5.5,0.0,0.0,0.0,0.0
awesome app keep going,5,2025-05-14,Dashen Bank,Google Play,awesome keep going,18.0,3.0,5.33,0.0,0.0,0.0,0.0
it's the best app i,5,2025-05-02,Commercial Bank of Ethiopia,Google Play,best,4.0,1.0,4.0,0.0,0.0,0.0,0.0
በጣም ሃሪፍ ነው ግን ብር በሚተላለፍበት ወቅት ተቀንሷል ይላል እላፊ መልክቱ ይደርሳል ግን አይቀንስም,5,2025-03-31,Commercial Bank of Ethiopia,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play,every one,9.0,2.0,4.0,0.0,0.0,0.0,0.0
Fast one,3,2024-09-04,Bank of Abyssinia,Google Play,fast one,8.0,2.0,3.5,0.0,0.0,0.0,0.0
Wow,5,2024-07-19,Bank of Abyssinia,Google Play,wow,3.0,1.0,3.0,0.0,0.0,0.0,0.0
goood,5,2025-04-02,Dashen Bank,Google Play,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
good app,5,2025-05-03,Commercial Bank of Ethiopia,Google Play,good,4.0,1.0,4.0,0.0,0.0,0.0,0.0
better service,5,2025-05-30,Commercial Bank of Ethiopia,Google Play,better service,14.0,2.0,6.5,0.0,0.0,0.0,0.0
